Anime_id,Name,Genres,,,,,,,,,,,,,,
72,Full Metal Panic? Fumoffu,"Action, Comedy, School",,,,,,,,,,,,,,
73,Full Metal Panic! The Second Raid,"Action, Military, Mecha",,,,,,,,,,,,,,
74,Gakuen Alice,"Comedy, School, Shoujo, Super Power",,,,,,,,,,,,,,
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi",,,,,,,,,,,,,,
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power",,,,,,,,,,,,,,
77,Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama, Magic, Super Power",,,,,,,,,,,,,,
79,Shuffle!,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",,,,,,,,,,,,,,
80,Mobile Suit Gundam,"Action, Military, Sci-Fi, Space, Mecha",,,,,,,,,,,,,,
81,Mobile Suit Gundam: The 08th MS Team,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",,,,,,,,,,,,,,
82,Mobile Suit Gundam 0080: War in the Pocket,"Military, Sci-Fi, Space, Drama, Mecha",,,,,,,,,,,,,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,"Military, Sci-Fi, Drama, Romance, Mecha",,,,,,,,,,,,,,
84,Mobile Suit Gundam 0083: Stardust Memory,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",,,,,,,,,,,,,,
85,Mobile Suit Zeta Gundam,"Military, Sci-Fi, Space, Drama, Romance, Mecha",,,,,,,,,,,,,,
86,Mobile Suit Gundam ZZ,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",,,,,,,,,,,,,,
87,Mobile Suit Gundam: Char's Counterattack,"Military, Sci-Fi, Space, Drama, Mecha",,,,,,,,,,,,,,
88,Mobile Suit Gundam F91,"Drama, Mecha, Military, Sci-Fi, Space",,,,,,,,,,,,,,
89,Mobile Suit Victory Gundam,"Drama, Mecha, Military, Sci-Fi, Space",,,,,,,,,,,,,,
90,Mobile Suit Gundam Wing,"Action, Military, Sci-Fi, Space, Drama, Mecha",,,,,,,,,,,,,,
91,Mobile Suit Gundam Wing: Endless Waltz,"Action, Drama, Mecha, Military, Sci-Fi, Space",,,,,,,,,,,,,,
92,After War Gundam X,"Sci-Fi, Adventure, Space, Drama, Mecha",,,,,,,,,,,,,,
93,Mobile Suit Gundam SEED,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",,,,,,,,,,,,,,
94,Mobile Suit Gundam SEED Destiny,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",,,,,,,,,,,,,,
95,Turn A Gundam,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",,,,,,,,,,,,,,
96,Mobile Fighter G Gundam,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",,,,,,,,,,,,,,
97,Last Exile,"Action, Sci-Fi, Adventure",,,,,,,,,,,,,,
98,Mai-HiME,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",,,,,,,,,,,,,,
99,Mai-Otome,"Comedy, Drama, Fantasy, Magic",,,,,,,,,,,,,,
100,Shin Shirayuki-hime Densetsu PrÃ©tear,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",,,,,,,,,,,,,,
101,Air,"Slice of Life, Supernatural, Drama, Romance",,,,,,,,,,,,,,
102,Aishiteruze Babyââ,"Comedy, Drama, Romance, Shoujo",,,,,,,,,,,,,,
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",,,,,,,,,,,,,,
104,Ayashi no Ceres,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",,,,,,,,,,,,,,
105,Boys Be...,"Slice of Life, Comedy, Romance, Shounen",,,,,,,,,,,,,,
106,Hana yori Dango,"Drama, Romance, School, Shoujo",,,,,,,,,,,,,,
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",,,,,,,,,,,,,,
108,Ou Dorobou Jing in Seventh Heaven,"Adventure, Fantasy, Psychological, Comedy, Shounen",,,,,,,,,,,,,,
109,Bakuretsu Tenshi,"Adventure, Comedy, Mecha, Sci-Fi",,,,,,,,,,,,,,
110,Chuuka Ichiban!,"Action, Comedy, Drama, Shounen",,,,,,,,,,,,,,
111,Corrector Yui,"Sci-Fi, Adventure, Comedy, Magic",,,,,,,,,,,,,,
112,Chou Henshin Cosprayers,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",,,,,,,,,,,,,,
113,Uchuu no Stellvia,"Action, Mecha, Romance, Sci-Fi, Space",,,,,,,,,,,,,,
114,Sakigake!! Cromartie Koukou,"Comedy, School, Shounen",,,,,,,,,,,,,,
115,El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",,,,,,,,,,,,,,
116,El Hazard: The Wanderers,"Adventure, Comedy, Romance, Fantasy",,,,,,,,,,,,,,
117,El Hazard: The Magnificent World,"Adventure, Comedy, Romance, Fantasy",,,,,,,,,,,,,,
118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",,,,,,,,,,,,,,
119,Final Approach,"Comedy, Drama, Romance, Slice of Life",,,,,,,,,,,,,,
120,Fruits Basket,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",,,,,,,,,,,,,,
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",,,,,,,,,,,,,,
122,Full Moon wo Sagashite,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",,,,,,,,,,,,,,
123,Fushigi Yuugi,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",,,,,,,,,,,,,,
124,Fushigi Yuugi: Eikouden,"Adventure, Fantasy, Romance, Drama, Shoujo",,,,,,,,,,,,,,
125,Futakoi,"Comedy, Romance, School",,,,,,,,,,,,,,
126,Futakoi Alternative,"Comedy, Drama, Romance",,,,,,,,,,,,,,
127,Gate Keepers,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",,,,,,,,,,,,,,
128,Gate Keepers 21,"Action, Drama, Mecha, Sci-Fi, Shounen",,,,,,,,,,,,,,
129,Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",,,,,,,,,,,,,,
130,Saiyuuki Reload,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",,,,,,,,,,,,,,
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",,,,,,,,,,,,,,
132,GetBackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",,,,,,,,,,,,,,
133,Green Green,"Comedy, Ecchi, Romance, School, Slice of Life",,,,,,,,,,,,,,
134,Gunslinger Girl,"Action, Psychological, Military, Drama, Sci-Fi",,,,,,,,,,,,,,
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",,,,,,,,,,,,,,
136,Hunter x Hunter,"Action, Adventure, Super Power, Fantasy, Shounen",,,,,,,,,,,,,,
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Super Power, Shounen",,,,,,,,,,,,,,
138,Hunter x Hunter: Greed Island,"Action, Adventure, Super Power, Fantasy, Shounen",,,,,,,,,,,,,,
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Super Power, Fantasy, Shounen",,,,,,,,,,,,,,
141,Jinki:Extend,"Mecha, Sci-Fi",,,,,,,,,,,,,,
142,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",,,,,,,,,,,,,,
143,Kannazuki no Miko,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",,,,,,,,,,,,,,
144,Kanon,"Drama, Romance, Slice of Life, Supernatural",,,,,,,,,,,,,,
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",,,,,,,,,,,,,,
146,Kono Minikuku mo Utsukushii Sekai,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",,,,,,,,,,,,,,
147,Kimi ga Nozomu Eien,"Drama, Romance, Slice of Life",,,,,,,,,,,,,,
148,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life",,,,,,,,,,,,,,
149,Loveless,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",,,,,,,,,,,,,,
150,Blood+,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",,,,,,,,,,,,,,
151,Re: Cutey Honey,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",,,,,,,,,,,,,,
152,Solty Rei,"Action, Sci-Fi, Super Power",,,,,,,,,,,,,,
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural",,,,,,,,,,,,,,
154,Shaman King,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",,,,,,,,,,,,,,
155,X/1999,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",,,,,,,,,,,,,,
156,X,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",,,,,,,,,,,,,,
157,Mahou Sensei Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",,,,,,,,,,,,,,
158,Maria-sama ga Miteru,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",,,,,,,,,,,,,,
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",,,,,,,,,,,,,,
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi",,,,,,,,,,,,,,
161,Peace Maker Kurogane,"Action, Comedy, Historical, Samurai, Shounen",,,,,,,,,,,,,,
162,Pita Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen",,,,,,,,,,,,,,
163,Power Stone,"Adventure, Comedy, Fantasy, Historical, Shounen",,,,,,,,,,,,,,
164,Mononoke Hime,"Action, Adventure, Fantasy",,,,,,,,,,,,,,
165,RahXephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",,,,,,,,,,,,,,
166,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi",,,,,,,,,,,,,,
167,Scrapped Princess,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",,,,,,,,,,,,,,
168,s.CRY.ed,"Action, Sci-Fi, Adventure, Super Power, Drama",,,,,,,,,,,,,,
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",,,,,,,,,,,,,,
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",,,,,,,,,,,,,,
171,Strange Dawn,"Adventure, Drama, Fantasy",,,,,,,,,,,,,,
173,Tactics,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",,,,,,,,,,,,,,
174,Tenjou Tenge,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",,,,,,,,,,,,,,
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",,,,,,,,,,,,,,
176,Triangle Heart: Sweet Songs Forever,"Adventure, Romance",,,,,,,,,,,,,,
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",,,,,,,,,,,,,,
178,Ultra Maniac,"Comedy, Magic, Romance, School, Shoujo",,,,,,,,,,,,,,
179,Ultra Maniac OVA,"Comedy, Magic, Romance, School",,,,,,,,,,,,,,
180,Vandread,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",,,,,,,,,,,,,,
181,Vandread: The Second Stage,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",,,,,,,,,,,,,,
182,Tenkuu no Escaflowne,"Adventure, Psychological, Romance, Fantasy, Mecha",,,,,,,,,,,,,,
183,Whistle!,"School, Shounen, Sports",,,,,,,,,,,,,,
184,Xenosaga The Animation,"Action, Mecha, Sci-Fi, Shounen, Space",,,,,,,,,,,,,,
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",,,,,,,,,,,,,,
186,Initial D Second Stage,"Action, Cars, Drama, Seinen, Sports",,,,,,,,,,,,,,
187,Initial D Third Stage,"Action, Cars, Sports, Drama, Romance, Seinen",,,,,,,,,,,,,,
188,Gosenzo San'e,"Comedy, Hentai, Mystery, Supernatural",,,,,,,,,,,,,,
189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",,,,,,,,,,,,,,
190,Love Hina Again,"Comedy, Drama, Ecchi, Romance, Shounen",,,,,,,,,,,,,,
191,Love Hina Christmas Special: Silent Eve,"Slice of Life, Comedy, Romance",,,,,,,,,,,,,,
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",,,,,,,,,,,,,,
193,Maburaho,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",,,,,,,,,,,,,,
194,Macross Zero,"Adventure, Mecha, Military, Sci-Fi, Shounen",,,,,,,,,,,,,,
195,OnegaiâTeacher,"Sci-Fi, Comedy, Drama, Romance, School",,,,,,,,,,,,,,
196,OnegaiâTwins,"Comedy, Drama, Harem, School, Sci-Fi",,,,,,,,,,,,,,
197,Rizelmine,"Sci-Fi, Comedy, Romance, Ecchi, School",,,,,,,,,,,,,,
198,Speed Grapher,"Action, Mystery, Super Power",,,,,,,,,,,,,,
199,Sen to Chihiro no Kamikakushi,"Adventure, Supernatural, Drama",,,,,,,,,,,,,,
200,Tenshi na Konamaiki,"Comedy, Magic, Romance, Shounen",,,,,,,,,,,,,,
201,Video Girl Ai,"Comedy, Drama, Ecchi, Romance",,,,,,,,,,,,,,
202,Wolf's Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",,,,,,,,,,,,,,
203,Words Worth,"Adventure, Hentai, Demons, Magic, Fantasy",,,,,,,,,,,,,,
204,Yumeria,"Action, Comedy, Ecchi, Harem, Super Power",,,,,,,,,,,,,,
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",,,,,,,,,,,,,,
206,Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Magic, Romance, Fantasy",,,,,,,,,,,,,,
207,Lodoss-tou Senki,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",,,,,,,,,,,,,,
208,R.O.D: Read or Die,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic",,,,,,,,,,,,,,
209,R.O.D: The TV,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",,,,,,,,,,,,,,
210,Ranma Â½,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",,,,,,,,,,,,,,
211,Pure Mail,Hentai,,,,,,,,,,,,,,
212,Project A-Ko,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",,,,,,,,,,,,,,
213,Pia Carrot e Youkoso!!,"Comedy, Romance, Hentai",,,,,,,,,,,,,,
214,Pia Carrot e Youkoso!! 2,"Comedy, Romance, Hentai",,,,,,,,,,,,,,
215,Pia Carrot e Youkoso!! 2 DX,"Comedy, Romance",,,,,,,,,,,,,,
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"Comedy, Romance",,,,,,,,,,,,,,
217,Shin Angel,"Comedy, Drama, Hentai, Romance",,,,,,,,,,,,,,
218,Kidou Senkan Nadesico,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",,,,,,,,,,,,,,
219,Kidou Senkan Nadesico: The Prince of Darkness,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space",,,,,,,,,,,,,,
220,Kuro no Danshou,"Hentai, Horror",,,,,,,,,,,,,,
221,Mezzo Forte,"Action, Comedy, Hentai, Sci-Fi",,,,,,,,,,,,,,
222,Mezzo DSA,"Action, Adventure, Comedy, Mystery, Sci-Fi",,,,,,,,,,,,,,
223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",,,,,,,,,,,,,,
225,Dragon Ball GT,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",,,,,,,,,,,,,,
226,Elfen Lied,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",,,,,,,,,,,,,,
227,FLCL,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha",,,,,,,,,,,,,,
228,Jigoku Shoujo,"Mystery, Horror, Psychological, Supernatural",,,,,,,,,,,,,,
229,Ninin ga Shinobuden,"Comedy, Parody, Martial Arts",,,,,,,,,,,,,,
230,Air Master,"Action, Comedy, Martial Arts, Seinen",,,,,,,,,,,,,,
231,Asagiri no Miko,"Action, Comedy, Supernatural, Fantasy, Seinen",,,,,,,,,,,,,,
232,Cardcaptor Sakura,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",,,,,,,,,,,,,,
233,Daa! Daa! Daa!,"Comedy, Sci-Fi, Shoujo",,,,,,,,,,,,,,
234,Dan Doh!!,"Adventure, Sports, Shounen",,,,,,,,,,,,,,
235,Detective Conan,"Adventure, Mystery, Comedy, Police, Shounen",,,,,,,,,,,,,,
236,E's Otherwise,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural",,,,,,,,,,,,,,
237,Koukyoushihen Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",,,,,,,,,,,,,,
238,Rekka no Honoo,"Action, Adventure, Martial Arts, Shounen, Super Power",,,,,,,,,,,,,,
239,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",,,,,,,,,,,,,,
240,Genshiken,"Slice of Life, Comedy, Parody",,,,,,,,,,,,,,
241,Girls Bravo: First Season,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",,,,,,,,,,,,,,
242,Gokusen,"Slice of Life, Comedy, Drama, School, Josei",,,,,,,,,,,,,,
243,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai",,,,,,,,,,,,,,
244,Agatha Christie no Meitantei Poirot to Marple,"Historical, Mystery",,,,,,,,,,,,,,
245,Great Teacher Onizuka,"Slice of Life, Comedy, Drama, School, Shounen",,,,,,,,,,,,,,
246,Groove Adventure Rave,"Adventure, Comedy, Fantasy, Romance, Shounen",,,,,,,,,,,,,,
247,Harukanaru Toki no Naka de: Hachiyou Shou,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",,,,,,,,,,,,,,
248,Ichigo 100%,"Comedy, Ecchi, Harem, Romance, Shounen",,,,,,,,,,,,,,
249,InuYasha,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",,,,,,,,,,,,,,
250,Konjiki no Gash Bell!!,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen",,,,,,,,,,,,,,
251,Kyou kara Maou!,"Adventure, Comedy, Demons, Fantasy, Shoujo",,,,,,,,,,,,,,
252,Madlax,"Military, Mystery, Psychological, Supernatural, Drama, Magic, Shounen",,,,,,,,,,,,,,
253,Jungle wa Itsumo Hare nochi Guu,"Slice of Life, Comedy, School",,,,,,,,,,,,,,
254,Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy, Slice of Life",,,,,,,,,,,,,,
255,Jungle wa Itsumo Hare nochi Guu Final,"Slice of Life, Comedy",,,,,,,,,,,,,,
256,Hoshi no Koe,"Sci-Fi, Space, Drama, Romance, Mecha",,,,,,,,,,,,,,
257,Ikkitousen,"Ecchi, Super Power, Martial Arts, School",,,,,,,,,,,,,,
258,Hitsuji no Uta,"Horror, Drama, Vampire",,,,,,,,,,,,,,
259,HappyâLesson,"Comedy, Harem, Romance, School",,,,,,,,,,,,,,
260,HappyâLesson (TV),"Comedy, Drama, Harem, Romance, Slice of Life",,,,,,,,,,,,,,
261,HappyâLesson: Advance,"Comedy, Harem, Romance, Slice of Life",,,,,,,,,,,,,,
262,HappyâLesson: The Final,"Comedy, Harem, Romance, School",,,,,,,,,,,,,,
263,Hajime no Ippo,"Comedy, Sports, Drama, Shounen",,,,,,,,,,,,,,
264,Hajime no Ippo: Champion Road,"Comedy, Shounen, Sports",,,,,,,,,,,,,,
265,Hajime no Ippo: Mashiba vs. Kimura,"Comedy, Sports, Shounen",,,,,,,,,,,,,,
266,Gunparade March: Arata Naru Kougunka,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life",,,,,,,,,,,,,,
267,Gungrave,"Action, Drama, Sci-Fi, Seinen, Super Power",,,,,,,,,,,,,,
268,Golden Boy,"Adventure, Comedy, Ecchi",,,,,,,,,,,,,,
269,Bleach,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",,,,,,,,,,,,,,
270,Hellsing,"Action, Horror, Supernatural, Vampire, Seinen",,,,,,,,,,,,,,
271,Gad Guard,"Sci-Fi, Adventure, Mecha, Shounen",,,,,,,,,,,,,,
272,Noir,"Action, Mystery, Drama",,,,,,,,,,,,,,
273,Mahoutsukai ni Taisetsu na Koto,"Slice of Life, Drama, Magic, Shounen",,,,,,,,,,,,,,
274,Kiddy Grade,"Action, Sci-Fi, Super Power, Ecchi, Mecha",,,,,,,,,,,,,,
275,Loveâ¥Love?,"Ecchi, Comedy, Harem, Romance",,,,,,,,,,,,,,
276,Mahoromatic: Automatic Maiden,"Comedy, Ecchi, Military, Romance, Sci-Fi",,,,,,,,,,,,,,
277,Mahoromatic: Motto Utsukushii Mono,"Military, Sci-Fi, Comedy, Drama, Romance, Ecchi",,,,,,,,,,,,,,
278,Viewtiful Joe,"Action, Sci-Fi, Comedy, Shounen",,,,,,,,,,,,,,
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural",,,,,,,,,,,,,,
280,Animal Yokochou,"Adventure, Comedy, Fantasy, Shoujo",,,,,,,,,,,,,,
281,Akane Maniax,"Comedy, Mecha, Romance",,,,,,,,,,,,,,
282,Angel Heart,"Action, Mystery, Drama, Romance, Seinen",,,,,,,,,,,,,,
283,Akage no Anne,"Slice of Life, Historical, Drama",,,,,,,,,,,,,,
